SA7036a
   1.00000	   0.00100
   0.99421	   0.00160
   0.98301	   0.00306
   0.97008	   0.00495
   0.95647	   0.00710
   0.94254	   0.00938
   0.92850	   0.01171
   0.91443	   0.01405
   0.90039	   0.01637
   0.88638	   0.01865
   0.87242	   0.02087
   0.85843	   0.02303
   0.84443	   0.02515
   0.83042	   0.02721
   0.81637	   0.02923
   0.80231	   0.03121
   0.78824	   0.03316
   0.77417	   0.03507
   0.76008	   0.03695
   0.74600	   0.03879
   0.73193	   0.04058
   0.71783	   0.04234
   0.70375	   0.04406
   0.68966	   0.04574
   0.67556	   0.04737
   0.66147	   0.04897
   0.64737	   0.05052
   0.63326	   0.05202
   0.61917	   0.05349
   0.60507	   0.05490
   0.59096	   0.05627
   0.57686	   0.05758
   0.56276	   0.05885
   0.54866	   0.06006
   0.53455	   0.06122
   0.52045	   0.06233
   0.50635	   0.06337
   0.49226	   0.06436
   0.47817	   0.06529
   0.46408	   0.06615
   0.45000	   0.06694
   0.43592	   0.06766
   0.42185	   0.06831
   0.40778	   0.06889
   0.39372	   0.06938
   0.37967	   0.06980
   0.36563	   0.07013
   0.35159	   0.07037
   0.33758	   0.07052
   0.32357	   0.07057
   0.30958	   0.07052
   0.29561	   0.07036
   0.28165	   0.07009
   0.26773	   0.06971
   0.25383	   0.06920
   0.23998	   0.06855
   0.22616	   0.06776
   0.21239	   0.06682
   0.19868	   0.06572
   0.18502	   0.06444
   0.17143	   0.06297
   0.15792	   0.06130
   0.14450	   0.05942
   0.13119	   0.05730
   0.11802	   0.05494
   0.10499	   0.05230
   0.09217	   0.04938
   0.07958	   0.04614
   0.06731	   0.04256
   0.05546	   0.03863
   0.04415	   0.03432
   0.03365	   0.02969
   0.02436	   0.02488
   0.01679	   0.02024
   0.01117	   0.01610
   0.00724	   0.01264
   0.00453	   0.00975
   0.00267	   0.00730
   0.00140	   0.00516
   0.00059	   0.00326
   0.00012	   0.00155
   0.00000	   0.00000
   0.00039	  -0.00152
   0.00146	  -0.00292
   0.00308	  -0.00423
   0.00526	  -0.00554
   0.00819	  -0.00694
   0.01223	  -0.00853
   0.01798	  -0.01037
   0.02607	  -0.01240
   0.03646	  -0.01444
   0.04839	  -0.01623
   0.06118	  -0.01772
   0.07442	  -0.01894
   0.08792	  -0.01991
   0.10160	  -0.02069
   0.11539	  -0.02131
   0.12926	  -0.02178
   0.14321	  -0.02212
   0.15721	  -0.02236
   0.17125	  -0.02251
   0.18532	  -0.02257
   0.19942	  -0.02257
   0.21354	  -0.02249
   0.22769	  -0.02236
   0.24185	  -0.02217
   0.25602	  -0.02193
   0.27021	  -0.02166
   0.28441	  -0.02134
   0.29862	  -0.02098
   0.31285	  -0.02060
   0.32708	  -0.02019
   0.34133	  -0.01976
   0.35558	  -0.01930
   0.36985	  -0.01883
   0.38412	  -0.01835
   0.39839	  -0.01785
   0.41268	  -0.01734
   0.42696	  -0.01683
   0.44125	  -0.01630
   0.45553	  -0.01577
   0.46983	  -0.01524
   0.48412	  -0.01470
   0.49841	  -0.01416
   0.51271	  -0.01361
   0.52700	  -0.01307
   0.54130	  -0.01252
   0.55560	  -0.01197
   0.56990	  -0.01142
   0.58419	  -0.01087
   0.59848	  -0.01033
   0.61277	  -0.00979
   0.62707	  -0.00925
   0.64136	  -0.00871
   0.65565	  -0.00819
   0.66994	  -0.00767
   0.68423	  -0.00715
   0.69851	  -0.00664
   0.71279	  -0.00615
   0.72707	  -0.00566
   0.74135	  -0.00518
   0.75561	  -0.00471
   0.76987	  -0.00427
   0.78413	  -0.00384
   0.79838	  -0.00342
   0.81263	  -0.00303
   0.82688	  -0.00266
   0.84111	  -0.00231
   0.85535	  -0.00199
   0.86957	  -0.00170
   0.88377	  -0.00144
   0.89797	  -0.00122
   0.91217	  -0.00103
   0.92634	  -0.00089
   0.94050	  -0.00080
   0.95463	  -0.00075
   0.96866	  -0.00076
   0.98215	  -0.00082
   0.99393	  -0.00090
   1.00000	  -0.00100
